1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1.00001,1.00001,1.00001,0.100052,0.100657,0.100649,0.100001,0.100001,0.100001,0.100125,0.100125,0.100125,0.100125,0.100125,0.100125
1.00003,1.00003,1.00003,0.100118,0.10255,0.10252,0.100003,0.100003,0.100003,0.10025,0.10025,0.10025,0.10025,0.10025,0.10025
1.00004,1.00004,1.00004,0.100175,0.105593,0.105552,0.100006,0.100006,0.100006,0.100375,0.100375,0.100375,0.100375,0.100375,0.100375
1.00006,1.00006,0.0384615,0.100238,0.110027,0.10997,0.2,0.2,1,0.1005,0.1005,0.1005,0.1005,0.1005,0.1005
1.00007,1.00007,0.0384787,0.100319,0.115008,0.115508,0.200006,0.200006,1.00001,0.100625,0.100625,0.100625,0.100625,0.100625,0.100625
1.00009,1.00009,0.038497,0.100404,0.119977,0.122175,0.200013,0.200013,1.00001,0.10075,0.10075,0.10075,0.10075,0.10075,0.10075
1.00011,1.00011,0.0385168,0.100503,0.125107,0.130212,0.200021,0.200023,1.00002,0.100875,0.100875,0.100875,0.100875,0.100875,0.100875
1.00013,1.00013,0.0196276,0.100601,0.130111,0.139153,0.20003,0.200033,1.00003,0.101,0.101,0.101,0.101,0.101,0.101
1.00015,1.00015,0.0196499,0.100716,0.135279,0.149496,0.200041,0.200046,1.00005,0.101125,0.101125,0.101125,0.101125,0.101125,0.101125
1.00017,1.00018,0.0196734,0.100858,0.140446,0.160921,0.200053,0.200061,1.00006,0.10125,0.10125,0.10125,0.10125,0.10125,0.10125
1.0002,1.0002,0.019698,0.101016,0.145739,0.173742,0.200066,0.200077,1.00008,0.101375,0.101375,0.101375,0.101375,0.101375,0.101375
1.00022,1.00023,0.0132101,0.101148,0.150921,0.18746,0.20008,0.200096,1.0001,0.1015,0.1015,0.1015,0.1015,0.1015,0.1015
1.00025,1.00025,0.0132374,0.101288,0.156199,0.202586,0.200096,0.200117,1.00012,0.101625,0.101625,0.101625,0.101625,0.101625,0.101625
1.00028,1.00028,0.013266,0.101464,0.161386,0.218461,0.200113,0.20014,1.00015,0.10175,0.10175,0.10175,0.10175,0.10175,0.10175
0.00123376,0.00123372,0.0132956,0.100771,0.165862,0.100829,0.200131,0.200165,1,0.101861,0.101861,0.101875,0.101767,0.101767,0.05
